Unnamed: 0,0,1,2,3,4,5,6,7
116,"4,1",17%,Varun V. Sharma,Varun V. Sharma,Bunty and Babli are forced out of retirement after a spate of robberies with their trademark sigil start appearing across India.,"Comedia
Romance",2h 18min,Bunty Aur Babli 2
117,"3,7",40%,Baburaj,Baburaj,Will cook Babu who shares a deep bond with Kalidasan return to the latter's house after their misunderstanding?,Comedia,2h 22min,Black Coffee
118,"4,7",67%,Col Spector,Radha Chakraborty,"After receiving a marriage ultimatum from a woman he's not sure he truly loves, Rob is up against the clock to realise he should stop looking for the fabled 'Miss Right' and learn to see what's right in front of him.",Comedia,1h 24min,I'm Not in Love
119,"6,3",78%,Michael Fimognari,Katie Lovejoy,"Mientras Lara se prepara para el fin de su etapa en el instituto y el comienzo de la vida adulta, un par de viajes trascendentales la llevan a replantearse cómo será la vida después de la graduación.","Comedia
Drama
Romance",1h 56min,A todos los chicos: Para siempre
120,"5,3",97%,Fred De Loof,Fred De LoofFrançois Neycken,"The wolf patrol finds itself on the site of their last scout camp. Where Ludovic, the new boy, had disappeared twenty years earlier. They have all gathered in the middle of this Ardennes forest because Etienne aka ""Buffalo"" sees an evil giant rat. And to make it disappear, his shrink had the good idea to undertake a kind of group therapy. Because apparently, this bad ... Leer todo",Comedia,1h 12min,Totem
121,"5,6",54%,V.W. Scheich,Robert Windom,"A Hollywood agent returns to his Alabama hometown for 15 year high school reunion. His old schoolmates think, he's dating and bringing a famous movie star with him. He asks a cute client for a favor.","Comedia
Drama
Romance",1h 43min,Stars Fell on Alabama
122,"6,3",52%,Hernán Jiménez,Daniel Mackey,"Una chica de Los Ángeles, desafortunada en el amor, se enamora de un chico de la costa este en una aplicación de citas y decide sorprenderlo durante las vacaciones, solo para descubrir que la han engañado.","Comedia
Romance",1h 44min,¡Qué duro es el amor!
123,"8,5",86%,Enzo Cellucci,Enzo CellucciAsh McNair,,Corto,18min,Class
124,"6,0",88%,Dante Basco,Arianna Basco,Follows four brothers and their shenanigans.,"Comedia
Romance",1h 39min,The Fabulous Filipino Brothers
125,"7,8",25%,Rajesh Bhatia,Laxman Utekar,"Mimi es presentada por Bhanu a una pareja estadounidense como madre sustituta a cambio de dos millones de rupias. Ella decide tener el bebé, incluso cuando ellos cambian de opinión y le dice a su papá que Bhanu es el padre.","Comedia
Drama",2h 12min,Mimi
126,"4,8",43%,Jonah Feingold,Jonah Feingold,Once upon a time in New York City....they swiped right.,Comedia,1h 31min,Dating & New York
127,"6,8",78%,Ian Samuels,Lev Grossman,"Dos adolescentes que viven el mismo día repetidamente, lo que les permite crear el mapa titular.","Comedia
Fantasía
Romance",1h 38min,El mapa de las pequeñas cosas perfectas
128,"5,4",28%,Conrad Vernon,Dan Hernandez,"La familia Addams decide irse de vacaciones para intentar estar más unidos. Secuela de la película de animación de 2019, 'La Familia Addams'.","Animación
Aventura
Comedia",1h 33min,La familia Addams 2
129,"6,5",100%,Patrick Read Johnson,Patrick Read Johnson,"La épica historia de Pat Johnson, un aspirante director de cine alienado, sobre su infancia en la Illinois rural, su enamoramiento y su conversión en el primer fan de la película que lo cambió todo.","Comedia
Drama",2h 12min,5-25-77
130,"6,3",45%,John Lee Hancock,John Lee Hancock,Dos policías localizan a un asesino en serie.,"Crimen
Drama
Misterio",2h 8min,Pequeños detalles
131,"6,1",92%,Stephen Karam,Stephen Karam,"Siga la noche en la que la familia Blake se reúne para celebrar el Día de Acción de Gracias. A medida que cae la oscuridad, cosas misteriosas comienzan a surgir en la noche y las tensiones familiares alcanzan un punto de ebullición.",Drama,1h 48min,The Humans
132,"5,9",47%,Castille Landon,Castille Landon,"Una chica esquizofrénica que sufre terribles alucinaciones empieza a sospechar que su vecino ha secuestrado a un niño. La única persona que la cree es Caleb, un chico que no está siquiera segura de que exista.","Drama
Terror
Misterio",1h 49min,Fear of Rain
133,"5,3",100%,Amanda Sthers,Amanda Sthers,"Sandro ya está casado. En una fiesta conoce a Laura y es amor a primera vista, pero ella está comprometida y se casa al mes siguiente. Ambos se esfuerzan por cumplir sus compromisos, pero la atracción mutua finalmente afectará sus vidas.","Drama
Romance",1h 53min,Promises
134,"4,5",88%,Banu Akseki,Banu AksekiFreddy Malonda,,Drama,1h 39min,Sans soleil
135,"5,3",73%,Lucile Hadzihalilovic,Lucile Hadzihalilovic,"En algún lugar de Europa, a mediados del siglo XX. Albert trabaja para cuidar de Mia, una niña con dientes de hielo. Mia nunca sale de su apartamento, donde las persianas siempre están cerradas.","Drama
Terror",1h 54min,Earwig
136,"4,2",9%,Martin Owen,John Wrathall,Una versión moderna del cuento clásico de Oliver Twist.,"Acción
Drama
Suspense",1h 30min,Twist
137,"3,4",21%,Brian Petsos,Brian Petsos,"Las experiencias del escritor novato Samuel Liston, cuando es contratado por el enigmático, Floyd Deveraux, para escribir su biografía.","Comedia
Fantasía",2h 12min,Big Gold Brick
138,"6,2",63%,Taika Waititi,Taika Waititi,"Thor reclama la ayuda de Valquiria, Korg y su exnovia Jane Foster para luchar contra Gorr el Dios Carnicero, que pretende extinguir a los dioses.","Acción
Aventura
Comedia",1h 58min,Thor: Love and Thunder
139,"7,3",97%,Fletcher Moules,Kid Cudi,"Jabari, un artista ambicioso, intenta compaginar el éxito y el amor al instalarse en el piso de sus sueños en Manhattan y enamorarse de su vecina.","Animación
Comedia
Música",1h 33min,Entergalactic
140,"6,6",70%,Sean Anders,Sean Anders,Una versión musical de la historia de Charles Dickens de un misántropo avaro que se embarca en un viaje mágico.,"Comedia
Familiar
Musical",2h 7min,El espíritu de la Navidad
141,"7,0",87%,Tom Gormican,Tom Gormican,"Un actor sin dinero acepta presentarse en la fiesta de cumpleaños de un fanático multimillonario, un capo de la droga que recién secuestró a la hija de un candidato a la presidencia. La CIA lo recluta para obtener información.","Acción
Comedia
Crimen",1h 47min,El insoportable peso de un talento descomunal
142,"5,2",69%,Nelson Dilipkumar,Nelson Dilipkumar,"Después de que un centro comercial en Chennai es secuestrado por terroristas que retienen a los visitantes como rehenes, un espía también atrapado en el centro comercial decide salvar a los rehenes eliminando a los terroristas.","Acción
Comedia
Crimen",2h 35min,Beast
143,"6,8",86%,Jeff Tremaine,Jason 'Wee Man' Acuña,"Después de once años, el equipo de Jackass regresa para su última misión.","Documental
Acción
Comedia",1h 36min,Burro Por Siempre
144,"5,5",44%,Jean-Pierre Jeunet,Guillaume Laurant,"Año 2045. Las IA hacen casi todas las tareas del hogar, incluso en la anticuada casa de Alice. Y cuando los robots se rebelan, sus androides deciden protegerla.","Comedia
Ciencia ficción",1h 51min,Bigbug
145,"7,1",91%,Rian Johnson,Rian Johnson,El famoso detective sureño Benoit Blanc viaja a Grecia para su último caso.,"Comedia
Crimen
Drama",2h 19min,Puñales por la espalda: El misterio de Glass Onion
146,"5,8",23%,Patrick Hughes,Robbie Fox,Un caso de identidad equivocada obliga a un empresario inepto a colaborar con el asesino conocido como el «Hombre de Toronto» para sobrevivir.,"Acción
Aventura
Comedia",1h 50min,El hombre de Toronto
147,"2,3",17%,Ahmed Khan,Rajat Arora,"Babloo Ranawat, a genius hacker, is tasked with tracking down Laila, the mastermind behind the world's largest cyber-crime yet to occur. Will Babloo be able to stop him?","Acción
Comedia
Crimen",2h 25min,Heropanti 2
148,"6,0",65%,Anne Fletcher,Jen D'Angelo,Tres mujeres jóvenes traen accidentalmente a las hermanas Sanderson a la Salem moderna y deben descubrir cómo evitar que las brujas hambrientas de niños causen estragos en el mundo.,"Comedia
Familiar
Fantasía",1h 43min,El retorno de las brujas 2
149,"5,3",40%,Jay Chandrasekhar,Kate Angelo,"Ambientada en torno a una reunión familiar para celebrar el Domingo de Pascua, la comedia se basa en las experiencias de vida y la comedia de stand-up de Jo Koy.",Comedia,1h 36min,Easter Sunday
150,"6,7",73%,Tommy Wirkola,Pat Casey,"Cuando un grupo de mercenarios ataca la propiedad de una familia adinerada, Santa Claus debe intervenir para salvar el día (y la Navidad).","Acción
Comedia
Suspense",1h 52min,Noche de paz
151,"6,7",63%,Peter Sollett,D.B. Weiss,Dos amigos se juntan para formar una banda de heavy metal con un violonchelista y así poder participar en una competencia de bandas.,Comedia,1h 37min,Metal Lords
152,"5,0",41%,Martin Owen,Piers Ashworth,"Oliver no tiene amigos, ni familia, pero está a punto de descubrir que la familia nunca muere, su familia zombie le ayudará a ir más allá de su solitaria vida en los suburbios, a pesar de las sospechas de algunos.","Comedia
Terror",1h 31min,The Loneliest Boy in the World
153,"7,3",53%,David Leitch,Zak Olkewicz,Cinco asesinos a sueldo se encuentran a bordo de un tren bala que viaja de Tokio a Morioka con unas pocas paradas intermedias. La pregunta es quién saldrá vivo del tren y qué les espera en la estación final.,"Acción
Comedia
Suspense",2h 7min,Bullet Train
154,"5,2",33%,Gurmmeet Singh,Jasvinder Bath,Download karna hai kaise karen.,"Comedia
Terror",2h 16min,Phone Bhoot
155,"8,1",56%,Simon Schneider,Dario DelayDario HaramustekSimon Schneider,A nearly finished construction site. The construction manager Thomas Zetzsche is proud of his achievement. But suddenly more and more defects appear and the opening date has to be postponed. Thomas must confront his own responsibility in this faulty system.,Corto,24min,Zeitpunkt X
156,"6,7",84%,Jim Archer,David Earl,"Después de un invierno duro, Brian cae en una profunda depresión; Completamente aislado y sin nadie con quien hablar, Brian hace lo que cualquier persona en su sano juicio haría ante una situación tan melancólica. Construye un robot.","Comedia
Drama
Ciencia ficción",1h 30min,Brian y Charles
157,"6,1",56%,J.J. Perry,Tyler Tice,Un padre que trabaja duro y que solo quiere darle una buena vida a su ingeniosa hija de 8 años. Su trabajo de limpieza de piscinas en el Valle de San Fernando es una fachada para su verdadera fuente de ingresos: cazar y matar vampiros.,"Acción
Comedia
Fantasía",1h 53min,Turno de día
158,"6,1",79%,Aaron Nee,Oren Uziel,Una novelista romántica solitaria en una gira de libros junto con su modelo de portada se ve envuelta en un intento de secuestro que los lleva a ambos a una feroz aventura en la jungla.,"Acción
Aventura
Comedia",1h 52min,La ciudad perdida
159,"6,7",40%,Francis Lawrence,David Guion,"Una joven descubre un mapa secreto al mundo de los sueños de Slumberland, con la ayuda de un excéntrico forajido, atraviesa los sueños y huye de las pesadillas, con la esperanza de poder volver a ver a su difunto padre.","Aventura
Comedia
Drama",1h 57min,El país de los sueños
160,"5,6",67%,Advait Chandan,Atul Kulkarni,"Laal Singh Chaddha, un hombre sencillo cuyo extraordinario viaje te llenará de amor, calor, felicidad y también te hará reír.","Comedia
Drama
Romance",2h 39min,Laal Singh Chaddha
161,"4,2",40%,Phil Donlon,Dave Rosenberg,Ricky Reilly is on a spiritual journey when he runs into his childhood nemesis and is then challenged by his best friend to confront the nemesis at their high school reunion.,Drama,1h 25min,The Reunion
162,"7,8",91%,Sanjay Leela Bhansali,Sanjay Leela Bhansali,"La joven Ganga es engañada por su novio con la promesa de una carrera cinematográfica y la convence de que se vaya del campo a Mumbai. En Mumbai, sus sueños de una carrera cinematográfica se derrumban y ella es atraída al inframundo.","Biografía
Crimen
Drama",2h 32min,Gangubai Kathiawadi
163,"7,3",77%,Baz Luhrmann,Baz Luhrmann,"Un vistazo a la vida de la legendaria estrella del rock and roll, Elvis Presley.","Biografía
Drama
Música",2h 39min,Elvis
164,"7,8",90%,Edward Berger,Edward Berger,Las aterradoras experiencias y la angustia de un joven soldado alemán en el frente occidental durante la Primera Guerra Mundial.,"Acción
Drama
Bélico",2h 28min,Sin novedad en el frente
165,"6,6",85%,Lila Neugebauer,Ottessa Moshfegh,Una soldado estadounidense sufre una lesión cerebral traumática en Afganistán. Tendrá que luchar por adaptarse a la vida en su hogar.,Drama,1h 34min,Causeway
166,"6,1",74%,Angus MacLane,Angus MacLane,La historia de Buzz Lightyear y sus aventuras hasta el infinito y más allá.,"Animación
Acción
Aventura",1h 45min,Lightyear
167,"6,1",32%,David O. Russell,David O. Russell,"Ambientada en los años 30, sigue a tres amigos que son testigos de un asesinato, se convierten en sospechosos y descubren uno de los complots más escandalosos de la historia de Estados Unidos.","Comedia
Drama
Historia",2h 14min,Ámsterdam
168,"5,9",90%,Francisca Alegria,Francisca Alegria,"Cecilia travels to her father's farm after he has a heart attack. Back in her childhood home, Cecilia is met by her long-deceased mother whose presence brings to life a painful past chorused by the natural world around them.",Drama,1h 38min,La vaca que cantó una canción hacia el futuro
169,"6,4",69%,Meg Leonard,Nick Moorcroft,Una secuela de la exitosa película británica.,"Comedia
Drama
Música",1h 51min,Fisherman's Friends: One and All
170,"6,1",74%,Angus MacLane,Angus MacLane,La historia de Buzz Lightyear y sus aventuras hasta el infinito y más allá.,"Animación
Acción
Aventura",1h 45min,Lightyear
171,"6,1",32%,David O. Russell,David O. Russell,"Ambientada en los años 30, sigue a tres amigos que son testigos de un asesinato, se convierten en sospechosos y descubren uno de los complots más escandalosos de la historia de Estados Unidos.","Comedia
Drama
Historia",2h 14min,Ámsterdam
172,"5,5",29%,Joshua Tickell,William Mapother,Un periodista y un ejecutivo de una compañía petrolera se encuentran en lados opuestos de la lucha durante la construcción del polémico oleoducto Dakota Access que atraviesa la reserva india de Standing Rock en Dakota del Norte.,Drama,1h 26min,On Sacred Ground
173,"5,9",91%,Patrice Leconte,Georges Simenon,"En París, una joven es encontrada muerta en una plaza, vestida con un traje de noche. El comisario Maigret intentará identificar al asesino y luego entender qué pasó con la víctima.","Crimen
Drama
Misterio",1h 29min,Maigret
174,"7,1",57%,Damien Chazelle,Damien Chazelle,Una historia de ambición y excesos desmesurados que recorre la ascensión y caída de múltiples personajes durante una época de desenfrenada decadencia y depravación en los albores de Hollywood.,"Comedia
Drama
Historia",3h 9min,Babylon
175,"8,4",28%,P.J. Palmer,P.J. Palmer,"A rural rancher and his ailing husband, struggling against poverty and isolation, make a heartbreaking decision in order to preserve the dignity of their marriage.","Corto
Drama
Romance",30min,North Star
176,"2,8",0%,Sabbir Khan,Sabbir Khan,A lazy slacker struggles to get along with his diligent sister-in-law - until they must step up and fight together against a common enemy.,"Acción
Comedia
Drama",2h 32min,Nikamma
177,"7,6",87%,Mani Ratnam,Mani Ratnam,Las conspiraciones y la lucha por el poder entre los personajes principales y los que los rodean forman la base de esta historia.,"Acción
Aventura
Drama",2h 47min,Ponniyin Selvan: Part One
178,"6,4",94%,Shinji Higuchi,Hideaki Anno,"El gobierno japonés libra una batalla implacable y desesperada contra los invasores alienígenas conocidos como la Especie S, hasta que la esperanza para la humanidad surge en forma de un misterioso guerrero gigante procedente del espacio.","Acción
Aventura
Drama",1h 58min,Shin Ultraman
179,"4,7",57%,Adam Christian Clark,Adam Christian Clark,"A un oficial de inteligencia fracasado se le da la oportunidad de una última misión, reclutar un activo relacionado con la familia real saudita.","Drama
Misterio
Romance",1h 39min,Diary of a Spy
180,"8,6",40%,Vivek Agnihotri,Vivek Agnihotri,"Las entrevistas en video de la primera generación perteneciente a la comunidad hindú de Cachemira, cuyos miembros fueron víctimas de la violencia en esa región en 1990.",Drama,2h 50min,The Kashmir Files
181,"6,0",100%,Paz Encina,Paz Encina,"Eami's homeland is invaded by settlers. Embodying Asojá, the bird-god-woman, she falls into trance in which she walks slowly and stunned through her beloved forest as she prepares to leave it forever.",Drama,1h 23min,EAMI
182,"5,3",90%,Nikyatu Jusu,Nikyatu Jusu,"Aisha, una niñera inmigrante, reconstruye una nueva vida en Nueva York mientras cuida a la hija de una familia del Upper East Side. Debe enfrentarse a una verdad oculta que amenaza con hacer añicos su sueño americano.","Drama
Terror",1h 39min,Nanny
183,"7,0",100%,Shariff Nasr,Shariff Nasr,Moroccan-Dutch Karim returns to his family home and opens up to his parents about being into men. Their reaction inspires a journey of discovery through Karim's isolation as he attempts to break an ingrained culture of silence.,Drama,1h 42min,El Houb
184,"7,2",96%,Alejandro Loayza Grisi,Alejandro Loayza Grisi,"En el altiplano boliviano, una pareja de ancianos quechuas lleva años viviendo en cotidianidad. Durante una sequía inusualmente larga, Virginio y Sisa enfrentan un dilema: resistir o ser derrotados por el medio ambiente y el tiempo mismo.",Drama,1h 27min,Utama
185,"6,0",63%,Nicola Abbatangelo,Nicola AbbatangeloDavide Orsini,A young immigrant named Eva living in New York during the 1920s dreams of becoming a singer and falls for a pianist with an active imagination.,Drama,1h 50min,The Land of Dreams
186,"5,9",95%,Del Kathryn Barton,Huna Amweero,"Después de presenciar accidentalmente un crimen violento, una joven queda catatónica por la conmoción y lucha por encontrarle sentido a lo que vio, y finalmente encuentra una renovación en el inestimable mundo de su propia imaginación.","Crimen
Drama
Fantasía",1h 41min,Blaze
187,"4,4",0%,Rohit Shetty,Sanchit Bedre,"Dos juegos de gemelos idénticos se separan accidentalmente al nacer. Varios años más tarde, cuando coinciden en la misma ciudad, hay mucha confusión y malentendidos cuando la gente los confunde entre sí.","Comedia
Drama",2h 19min,Cirkus
188,"5,8",76%,Roar Uthaug,Espen Aukan,"En lo profundo de la montaña Dovre, algo gigantesco despierta después de mil años en cautiverio. La criatura destruye todo a su paso y rápidamente se acerca a Oslo.","Acción
Aventura
Drama",1h 41min,Trol
189,"7,1",100%,Katt Shea,Squire D. Rushnell,"Persiguiendo su sueño de unirse a una unidad de élite K-9, un policía estatal se une a otro desvalido, el inteligente, pero travieso cachorro de refugio Ruby.","Biografía
Drama
Familiar",1h 30min,El rescate de Ruby
190,"5,3",27%,Daniel Adams,Daniel Adams,"In 1974, a Boston Irish cop confronts fierce social pressure after being assigned to protect black high school students as they are bused into all-white South Boston High.",Drama,1h 45min,The Walk
191,"6,7",11%,D.J. Caruso,Francine Rivers,"Vendida para ser explotada en la prostitución cuando era niña, Ángel no conoce nada más que la traición. ¿Podrá su corazón sanar alguna vez?","Drama
Romance
Del oeste",2h 14min,Amor redentor
192,"4,2",22%,Andrew Dosunmu,Lena Waithe,Una joven negra con mucho talento se esfuerza por ser fiel a sí misma cuando le proponen un contrato lucrativo para grabar un álbum.,"Drama
Romance",1h 35min,Beauty
193,"8,3",100%,Vetrimaaran,Jayamohan,A police officer is recruited to capture the leader of a separatist group.,"Acción
Crimen
Drama",2h 30min,Viduthalai Part 1
194,"9,5",61%,Kieran Wheeler,Claudia HruschkaKieran Wheeler,A troubled young girl wakes up to find herself in a nightmarish situation.,Corto,15min,Jungle
195,"4,8",33%,Toby Meakins,Simon Allen,"Después de iniciar un juego de terror de supervivencia perdido de los años 80, una joven programadora desata una maldición oculta que destroza la realidad y la obliga a tomar decisiones aterradoras y enfrentar consecuencias mortales.","Drama
Terror
Suspense",1h 24min,Elige o muere
196,"5,9",31%,Andrew Semans,Andrew Semans,"La vida de Margaret está en orden. Ella es capaz, disciplinada y exitosa. Todo está bajo control. Es decir, hasta que David regresa, trayendo consigo los horrores del pasado de Margaret.","Crimen
Drama
Terror",1h 43min,Resurrección
197,"6,8",100%,Paloma Baeza,Enda Walsh,"Ambientada en la actualidad, un promotor inmobiliario intenta hacer una venta rápida de una renovación. Algunos invitados misteriosos e inesperados tienen otros planes y se convierten en el catalizador de una transformación más personal.","Animación
Comedia
Drama",12,La casa
198,"6,6",92%,Thomas M. Wright,Thomas M. Wright,"Mark y Henry crearán una fuerte relación de confianza luego de empezar a conversar al encontrarse en un autobús. Sin embargo, ninguno es quien parece ser, ambos cargan con secretos que pudiesen hundirlos.","Crimen
Drama
Suspense",1h 57min,El extraño
199,"2,3",40%,Kameron Hale,Scott Hale,"El día que a Abbey le diagnostican cáncer de ovario, ella y su novia, Miranda son invitadas a cenar con el antiguo grupo de autoayuda de Miranda para celebrar el regreso de su amigo Scott. Abbey descubre que no todo es lo que parece.","Drama
Terror
Misterio",1h 20min,Entropy
200,"6,3",92%,Chloe Okuno,Zack Ford,Una joven se muda a un nuevo piso con su prometido solo para ser atormentada por la sensación de que un observador invisible la acecha en un edificio adyacente.,"Drama
Suspense",1h 36min,El extraño
201,"7,0",40%,Anup Bhandari,Anup Bhandari,"Hace casi medio siglo, un pueblo remoto en medio de una selva tropical comienza a ser testigo de una serie de eventos inexplicables que atribuyen a lo sobrenatural.","Acción
Crimen
Drama",2h 28min,VR (Vikrant Rona)
202,"6,7",89%,Andy Muschietti,Christina Hodson,"Flash, el héroe más rápido, viaja a una línea temporal en que la Tierra está en crisis y sus héroes perdidos o dispersados.","Acción
Aventura
Fantasía",2h 24min,Flash
203,"6,4",98%,Martin Bourboulon,Matthieu Delaporte,"D'Artagnan se ve obligado a unir fuerzas con Milady para salvar a Constance, secuestrada ante sus ojos. Pero mientras se declara la guerra y Athos, Porthos y Aramis se han unido al frente, un secreto del pasado hace añicos viejas alianzas.","Acción
Aventura
Drama",1h 55min,Los tres mosqueteros: Milady
204,"6,7",87%,Martin Bourboulon,Matthieu Delaporte,"D'Artagnan intenta salvar a una joven víctima de un secuestro. La búsqueda de los secuestradores le llevan a una alianza con Athos, Porthos y Aramis, tres de los mosqueteros del rey, mientras luchan para detener la guerra.","Acción
Aventura
Historia",2h 1min,Los tres mosqueteros: D'Artagnan
205,"7,4",48%,Robin Goode,Daniel Levi,Two brothers are torn apart after they steal a bag of money and are hunted down by a ruthless killer.,"Acción
Drama
Suspense",1h 52min,Free State
0,"7,2",9%,John Francis Daley,Jonathan Goldstein,"Un encantador ladrón y un grupo de aventureros poco comunes, emprenden una búsqueda épica para recuperar una reliquia perdida, pero las cosas se complican peligrosamente cuando se encuentran con las personas equivocadas.","Acción
Aventura
Comedia",2h 14min,Dungeons & Dragons: Honor entre ladrones
1,"6,7",73%,Benjamin Renner,Mike White,Una familia de patos intenta convencer a su sobreprotector padre para que se vaya de vacaciones.,"Animación
Aventura
Comedia",1h 23min,Migración: Un viaje patas arriba
2,"7,0",29%,Aaron Horvath,Matthew Fogel,"Un fontanero llamado Mario viaja a través de un laberinto subterráneo con su hermano, Luigi, tratando de salvar a una princesa capturada.","Animación
Aventura
Comedia",1h 32min,Super Mario Bros.: La película
3,"4,4",94%,Calmatic,Jamal Olori,Un estudiante de instituto decide organizar una fiesta en casa mientras sus padres están fuera.,Comedia,1h 40min,House Party
4,"6,8",64%,Rajkumar Santoshi,Sanjeev,A light comedy about a good-for-nothing boy who falls in love with a studious girl from a conservative family. Thus the funny conflict and situations that pop up.,"Comedia
Drama
Romance",2h 2min,Bad Boy
5,"6,7",84%,Francis Lawrence,Michael Lesslie,Coriolanus Snow ejerce de mentor y desarrolla sentimientos hacia la tributo femenina del Distrito 12 durante los X Juegos del Hambre.,"Acción
Aventura
Drama",2h 37min,Los juegos del hambre: Balada de pájaros cantores y serpientes
6,"6,8",73%,Blitz Bazawule,Marcus Gardley,Adaptación musical de la novela de Alice Walker sobre las luchas de toda una vida de una mujer afroamericana que vive en el sur a principios del siglo XX.,"Drama
Musical",2h 21min,El color púrpura
7,"6,5",84%,George C. Wolfe,Julian Breece,El activista Bayard Rustin se enfrenta al racismo y la homofobia cuando ayuda a cambiar el curso de la historia de los derechos civiles orquestando la Marcha sobre Washington de 1963.,"Biografía
Drama
Historia",1h 46min,Rustin
8,"6,5",46%,Peter Pontikis,Peter Pontikis,It tells the story of a boy from a socially deprived suburb who is forced to help his friend out of trouble with the local 'gang'. This risks changing the course of his life and sending him to a path that he did not choose himself.,Crimen,1h 35min,Bullets
9,"6,1",89%,Hideaki Anno,Hideaki Anno,"Hongo Takeshi se despierta y descubre que ha sido transformado en un ciborg híbrido de saltamontes. Convertido en el Jinete Enmascarado, debe luchar contra la misteriosa y malvada organización Shocker para proteger a toda la humanidad.","Acción
Aventura
Drama",2h 1min,Shin Kamen Raidâ
10,"5,0",31%,Brit McAdams,Brit McAdams,"Carl Nargle, el pintor de la Televisión Pública No. 1 de Vermont, convencido de que lo tiene todo, una furgoneta personalizada y admiradores colgados con cada una de sus tomas hasta que un artista más joven le roba todo.","Comedia
Drama",1h 36min,Paint
11,"6,6",65%,Abbe Hassan,Kristoffer CrasAbbe Hassan,A professional smuggler tries to save a 12-year-old girl whose family has gone missing in the Syrian war.,Drama,1h 42min,Exodus
12,"6,6",92%,Denizhan Akbaba,Emirhan Akbaba,The wizards try to defeat enemies from another world.,"Acción
Aventura
Drama",1h 10min,Return of the Dark
13,"5,7",50%,Johan Renck,Jaroslav Kalfar,"Jakub Procházka, huérfano y criado en el campo por sus abuelos, supera todas las adversidades y se convierte en el primer astronauta del país.","Aventura
Drama
Ciencia ficción",1h 47min,El astronauta
14,"6,8",96%,Michael Sarnoski,Michael Sarnoski,"Sigue a una mujer mientras atraviesa los aterradores primeros minutos de la invasión alienígena en la ciudad más ruidosa del mundo, Nueva York.","Drama
Terror
Ciencia ficción",1h 39min,Un lugar tranquilo: Día 1
15,"7,4",0%,Rafael Portillo,Rafael Portillo,"To save his dying son, Joseph (Tom Sizemore) descends into the criminal underworld controlled by Pancho (Robert LaSardo).",Crimen,23min,The Donor
16,"4,8",40%,Aishwarya Dhanush,Aishwarya Dhanush,"A reckless townsman tries to mend his thug ways ends up resurrecting himself and proves to be worthy of the world, in the eyes of the same people who chased him away.","Acción
Drama
Deporte",2h 30min,Lal Salaam
17,"7,0",48%,Sarik Andreasyan,Aleksey Gravitskiy,"Evgeniy Onegin lives in grand style: balls, receptions, theater premieres and other entertainment that the capital can offer a young man. But social life has long tired him, so he perceives the news of the illness of his uncle living in the village as an opportunity to escape from the disgusting world. However, having reached the estate, Onegin learns about the death ... Leer todo",Drama,2h 21min,Onegin
18,"5,4",99%,Laurent Nègre,Mohcine BesriLaurent Nègre,"Mistaken for a dangerous Islamist, Saadi - a regular guy who happens to be an illegal Arab immigrant - sets out on the most dangerous day of his life. A satirical and thrilling comedy where a wrongly accused suspect gets mixed up in a worldwide terrorist plot.",Acción,1h 40min,Opération Casablanca
19,"8,8",87%,Christopher Nolan,Christopher Nolan,"A un ladrón que roba secretos corporativos a través del uso de la tecnología de compartir sueños, se le da la tarea de implantar una idea en la mente de un jefe de una gran empresa.","Acción
Aventura
Ciencia ficción",2h 28min,Origen
20,"4,4",44%,Chris Witherspoon,Chris Witherspoon,"A thirty something man who lives in a suburb just outside of Portland says goodbye to his beautiful and loving wife and heads into town. There he unintentionally provokes the wrath of a mysterious motorcyclist. The confrontation between the two, sets in motion a day long battle. Beginning in the form of harmless taunts then quickly escalating into something more serio... Leer todo","Acción
Drama
Terror",1h 25min,Rage
21,"5,6",3%,Joel Schumacher,Jordan Melamed,"Un joven traficante de droga ve su vida desmoronarse tras el asesinato de su primo, que resulta en la detención de su mejor amigo.","Acción
Drama
Suspense",1h 33min,Twelve
22,"6,5",88%,Ian Sharp,Nicolas van Pallandt,"An Afrikaner Boer War veteran immigrates to New Zealand. Hired to track a fugitive accused of killing a soldier, he captures him but learns he's innocent. Faced with turning him in or freeing him, only one will survive.","Acción
Aventura
Drama",1h 42min,Tracker
23,"6,3",40%,Anton Corbijn,Rowan Joffe,Un asesino se esconde en Italia para una última misión.,"Acción
Crimen
Drama",1h 45min,El americano
24,"6,3",69%,Daniel Lee,Daniel Lee,A kung fu thriller set during the Ming Dynasty and centered on a secret service agent (Donnie Yen) in the emperor's court who is betrayed and then hunted by his colleagues.,"Acción
Historia
Suspense",1h 54min,14 espadas
25,"5,1",100%,Mark McQueen,Bart Ruspoli,"Mientras el mundo sucumbe a un apocalipsis zombie, Cole, un mercenario endurecido, persigue a la única persona que puede proporcionar una cura.","Acción
Terror",1h 36min,Devil's Playground
26,"6,8",61%,Takeshi Kitano,Takeshi Kitano,"El jefe de un importante sindicato del crimen ordena a su lugarteniente que ponga orden en una banda de traficantes de drogas, un trabajo que pasa a su sufrido subordinado.","Acción
Crimen
Drama",1h 49min,Outrage
27,"5,9",36%,David N. Donihue,David N. Donihue,"A Groundbreaking interactive DVD that plays like a video version of the ""Choose Your Own Adventure Books"" as the story follows 21 Year old Eric (the character whom the audience makes choices for) as he deals with a skull crunching breakup. Eric is a struggling musician who works a side job and just broke up with the greatest love of his life, the somewhat insane yet a... Leer todo","Acción
Aventura
Comedia",5h 10min,The Weathered Underground
